No.;Time;;No;Time;Time 2;;Delay;Total Delay ;;Delay 1;Delay 2;;Jitter;Total Jitter
254;4.958.254;;254;4,958254;4,958271;;1,7E-05;;;-0,000152;-0,000131;;2,1E-05;
255;4.958.271;;255;4,958271;4,95844;;0,000169;;;-0,000131;-0,000266;;-0,000135;
256;4.958.440;;256;4,95844;4,95874;;0,0003;;;-0,000266;0,000502;;0,000768;
257;4.958.740;;257;4,95874;4,959306;;0,000566;;;0,000502;4,5E-05;;-0,000457;
258;4.959.306;;258;4,959306;4,95937;;6,4E-05;;;4,5E-05;8E-06;;-3,7E-05;
259;4.959.370;;259;4,95937;4,959389;;1,9E-05;;;8E-06;3E-06;;-5E-06;
260;4.959.389;;260;4,959389;4,9594;;1,1E-05;;;3E-06;-0,000127;;-0,00013;
261;4.959.400;;261;4,9594;4,959408;;8E-06;;;-0,000127;0,000128;;0,000255;
262;4.959.408;;262;4,959408;4,959543;;0,000135;;;0,000128;-0,000362;;-0,00049;
263;4.959.543;;263;4,959543;4,95955;;7E-06;;;-0,000362;0,000229;;0,000591;
264;4.959.550;;264;4,95955;4,959919;;0,000369;;;0,000229;8,2E-05;;-0,000147;
265;4.959.919;;265;4,959919;4,960059;;0,00014;;;8,2E-05;-0,000198;;-0,00028;
266;4.960.059;;266;4,960059;4,960117;;5,8E-05;;;-0,000198;-0,000576;;-0,000378;
267;4.960.117;;267;4,960117;4,960373;;0,000256;;;-0,000576;0,000745;;0,001321;
268;4.960.373;;268;4,960373;4,961205;;0,000832;;;0,000745;-0,000142;;-0,000887;
269;4.961.205;;269;4,961205;4,961292;;8,7E-05;;;-0,000142;0,000206;;0,000348;
270;4.961.292;;270;4,961292;4,961521;;0,000229;;;0,000206;-1,2E-05;;-0,000218;
271;4.961.521;;271;4,961521;4,961544;;2,3E-05;;;-1,2E-05;1,8E-05;;3E-05;
272;4.961.544;;272;4,961544;4,961579;;3,5E-05;;;1,8E-05;-0,010636;;-0,010654;
273;4.961.579;;273;4,961579;4,961596;;1,7E-05;;;-0,010636;0,010474;;0,02111;
274;4.961.596;;274;4,961596;4,972249;;0,010653;;;0,010474;-0,000102;;-0,010576;
275;4.972.249;;275;4,972249;4,972428;;0,000179;;;-0,000102;0,000153;;0,000255;
276;4.972.428;;276;4,972428;4,972709;;0,000281;;;0,000153;-0,010039;;-0,010192;
277;4.972.709;;277;4,972709;4,972837;;0,000128;;;-0,010039;0,010089;;0,020128;
278;4.972.837;;278;4,972837;4,983004;;0,010167;;;0,010089;3,6E-05;;-0,010053;
279;4.983.004;;279;4,983004;4,983082;;7,8E-05;;;3,6E-05;-0,002122;;-0,002158;
280;4.983.082;;280;4,983082;4,983124;;4,2E-05;;;-0,002122;0,002153;;0,004275;
