No.;Time;;No.;Time;Time 2;;Delay;Total Delay;;Delay 1;Delay 2;;Jitter;Total Jitter
240;7.553.339;;240;7,553339;7,553601;;0,000262;;;-0,000812;0,000769;;0,001581;
241;7.553.601;;241;7,553601;7,554675;;0,001074;;;0,000769;-0,106352;;-0,107121;
242;7.554.675;;242;7,554675;7,55498;;0,000305;;;-0,106352;0,102711;;0,209063;
243;7.554.980;;243;7,55498;7,661637;;0,106657;;;0,102711;0,003898;;-0,098813;
244;7.661.637;;244;7,661637;7,665583;;0,003946;;;0,003898;3,3E-05;;-0,003865;
245;7.665.583;;245;7,665583;7,665631;;4,8E-05;;;3,3E-05;-0,000924;;-0,000957;
246;7.665.631;;246;7,665631;7,665646;;1,5E-05;;;-0,000924;0,000724;;0,001648;
247;7.665.646;;247;7,665646;7,666585;;0,000939;;;0,000724;-0,022347;;-0,023071;
248;7.666.585;;248;7,666585;7,6668;;0,000215;;;-0,022347;0,021099;;0,043446;
249;7.666.800;;249;7,6668;7,689362;;0,022562;;;0,021099;-0,000989;;-0,022088;
250;7.689.362;;250;7,689362;7,690825;;0,001463;;;-0,000989;-0,032619;;-0,03163;
251;7.690.825;;251;7,690825;7,693277;;0,002452;;;-0,032619;0,035048;;0,067667;
252;7.693.277;;252;7,693277;7,728348;;0,035071;;;0,035048;-0,000205;;-0,035253;
253;7.728.348;;253;7,728348;7,728371;;2,3E-05;;;-0,000205;-0,000147;;5,8E-05;
254;7.728.371;;254;7,728371;7,728599;;0,000228;;;-0,000147;-0,000839;;-0,000692;
255;7.728.599;;255;7,728599;7,728974;;0,000375;;;-0,000839;0,0009;;0,001739;
256;7.728.974;;256;7,728974;7,730188;;0,001214;;;0,0009;-0,022462;;-0,023362;
257;7.730.188;;257;7,730188;7,730502;;0,000314;;;-0,022462;0,022755;;0,045217;
258;7.730.502;;258;7,730502;7,753278;;0,022776;;;0,022755;-0,000288;;-0,023043;
259;7.753.278;;259;7,753278;7,753299;;2,1E-05;;;-0,000288;-0,001383;;-0,001095;
260;7.753.299;;260;7,753299;7,753608;;0,000309;;;-0,001383;0,001416;;0,002799;
261;7.753.608;;261;7,753608;7,7553;;0,001692;;;0,001416;-0,018458;;-0,019874;
262;7.755.300;;262;7,7553;7,755576;;0,000276;;;-0,018458;0,015572;;0,03403;
263;7.755.576;;263;7,755576;7,77431;;0,018734;;;0,015572;0,003038;;-0,012534;
264;7.774.310;;264;7,77431;7,777472;;0,003162;;;0,003038;0,000106;;-0,002932;
265;7.777.472;;265;7,777472;7,777596;;0,000124;;;0,000106;-3,7E-05;;-0,000143;
266;7.777.596;;266;7,777596;7,777614;;1,8E-05;;;-3,7E-05;-0,001934;;-0,001897;
267;7.777.614;;267;7,777614;7,777669;;5,5E-05;;;-0,001934;0,000546;;0,00248;
268;7.777.669;;268;7,777669;7,779658;;0,001989;;;0,000546;0,001211;;0,000665;
269;7.779.658;;269;7,779658;7,781101;;0,001443;;;0,001211;-2,7E-05;;-0,001238;
270;7.781.101;;270;7,781101;7,781333;;0,000232;;;-2,7E-05;-0,013074;;-0,013047;
271;7.781.333;;271;7,781333;7,781592;;0,000259;;;-0,013074;0,002345;;0,015419;
272;7.781.592;;272;7,781592;7,794925;;0,013333;;;0,002345;-0,015478;;-0,017823;
273;7.794.925;;273;7,794925;7,805913;;0,010988;;;-0,015478;0,014419;;0,029897;
274;7.805.913;;274;7,805913;7,832379;;0,026466;;;0,014419;0,012019;;-0,0024;
275;7.832.379;;275;7,832379;7,844426;;0,012047;;;0,012019;9E-06;;-0,01201;
276;7.844.426;;276;7,844426;7,844454;;2,8E-05;;;9E-06;-8,7E-05;;-9,6E-05;
277;7.844.454;;277;7,844454;7,844473;;1,9E-05;;;-8,7E-05;-0,008628;;-0,008541;
278;7.844.473;;278;7,844473;7,844579;;0,000106;;;-0,008628;0,008393;;0,017021;
279;7.844.579;;279;7,844579;7,853313;;0,008734;;;0,008393;-0,006244;;-0,014637;
280;7.853.313;;280;7,853313;7,853654;;0,000341;;;-0,006244;0,006324;;0,012568;
281;7.853.654;;281;7,853654;7,860239;;0,006585;;;0,006324;-0,000102;;-0,006426;
282;7.860.239;;282;7,860239;7,8605;;0,000261;;;-0,000102;-0,003014;;-0,002912;
283;7.860.500;;283;7,8605;7,860863;;0,000363;;;-0,003014;-0,068824;;-0,06581;
284;7.860.863;;284;7,860863;7,86424;;0,003377;;;-0,068824;0,069395;;0,138219;
